Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,kWh del-rec,kVARh del-rec,Vln a,Vll ab,Vll bc,Vll ca,kW tot,kVAR tot,PF sign tot,Freq,Vll avg,I avg
07-01-2023 13:15:00000,1629.328003,0.000000,0.000000,339.114105,11050.723,1995739.750000,13234.480,22921.721,23016.668,22973.088,6488.096680,-1272.131470,98.131500,50.080879,22970.492,166.516586
07-01-2023 13:30:00000,1628.592163,0.000000,0.000000,308.554840,12679.314,1995431.250000,13224.297,22904.738,23001.557,22955.801,6547.716797,-1172.635132,98.433899,50.065876,22954.031250,167.643738
07-01-2023 13:45:00000,1628.334473,0.000000,0.000000,281.552307,14307.649,1995149.750000,13219.714,22895.850,22988.982,22946.824,6522.835449,-992.551453,98.862007,50.103073,22943.885,166.353882
07-01-2023 14:00:00000,1627.508667,0.000000,0.000000,219.192123,15935.158,1994930.500000,13230.471680,22913.766,23005.693,22964.930,6507.803223,-907.323364,99.042038,50.159618,22961.463,165.546143
07-01-2023 14:15:00000,1624.965698,0.000000,0.000000,223.748901,17560.123,1994706.750000,13226.540,22906.010,22998.084,22958.699,6613.774902,-837.382141,99.207985,50.170685,22954.266,167.960861
07-01-2023 14:30:00000,1633.752686,0.000000,0.000000,206.107803,19193.877,1994500.625000,13219.463,22894.418,22986.041,22945.748,6451.557129,-910.089905,99.019638,50.021374,22942.068,164.291077
07-01-2023 14:45:00000,1611.239502,0.000000,0.000000,297.234436,20805.115,1994203.375000,13226.965,22906.988,22999.492,22959.756,6457.341309,-1443.778320,97.590416,50.141716,22955.412,166.721954
07-01-2023 15:00:00000,1610.253662,0.000000,0.000000,338.621216,22415.369,1993864.750000,13227.096,22906.783,22997.238,22958.975,6435.583496,-1441.393677,97.582405,50.159302,22954.332,166.192368
07-01-2023 15:15:00000,1611.763184,0.000000,0.000000,352.355988,24027.133,1993512.375000,13230.114,22911.783,23002.521,22964.393,6432.338379,-1497.970459,97.393860,50.145782,22959.566,166.389191
07-01-2023 15:30:00000,1608.653931,0.000000,0.000000,393.843353,25635.787,1993118.625000,13236.552,22922.621,23012.445,22976.068,6441.996094,-1650.120483,96.872437,50.108788,22970.379,167.457321
07-01-2023 15:45:00000,1612.500366,0.000000,0.000000,420.748749,27248.287,1992697.875000,13227.545,22907.721,22997.086,22959.764,6508.429688,-1667.778687,96.870140,49.902527,22954.857,169.306580
07-01-2023 16:00:00000,1628.778198,0.000000,0.000000,452.265228,28877.064,1992245.625000,13227.384,22906.818,22995.932,22959.883,6517.141113,-1941.398682,95.838074,49.986992,22954.213,171.341873
07-01-2023 16:15:00000,1630.386963,0.000000,0.000000,508.879242,30507.453,1991736.750000,13239.448,22927.143,23016.076,22980.941,6542.501465,-2102.932373,95.202919,49.990005,22974.721,172.991013
07-01-2023 16:30:00000,1631.147827,0.000000,0.000000,449.035950,32138.600,1991287.625000,13232.585,22915.072,23002.371,22967.881,6537.656250,-1698.511353,96.786858,50.022522,22961.775,170.151901
07-01-2023 16:45:00000,1629.893677,0.000000,0.000000,466.103668,33768.492,1990821.500000,13222.997070,22897.854,22983.166,22950.730,6516.855957,-1929.909058,95.883865,50.035690,22943.918,171.332291
07-01-2023 17:00:00000,1631.007202,0.000000,0.000000,495.243011,35399.500000,1990326.375000,13244.802,22933.846,23018.391,22988.988,6503.625488,-2095.570801,95.181000,50.124786,22980.408,171.966614
07-01-2023 17:15:00000,1630.532227,0.000000,0.000000,530.652588,37030.035,1989795.625000,13233.043,22913.307,22995.215,22967.498,6540.736328,-2026.931519,95.518608,50.019718,22958.672,172.498993
07-01-2023 17:30:00000,1630.534912,0.000000,0.000000,511.641785,38660.566,1989284.000000,13239.077,22922.852,23003.410,22977.508,6548.713867,-2098.646240,95.229500,50.091686,22967.924,173.153488
07-01-2023 17:45:00000,1624.394653,0.000000,0.000000,523.738159,40284.965,1988760.250000,13234.246,22914.254,22990.561,22967.129,6435.956055,-2091.492432,95.104248,50.057274,22957.312500,170.498993
07-01-2023 18:00:00000,1607.742676,0.000000,0.000000,527.230652,41892.707,1988233.000000,13244.873,22932.789,23007.945,22984.814,6435.349121,-2142.166260,94.881371,50.047089,22975.184,170.750931
07-01-2023 18:15:00000,1629.352539,0.000000,0.000000,571.800598,43522.059,1987661.250000,13239.394,22922.473,22996.992,22975.080,6523.635254,-2415.751953,93.776794,49.977779,22964.848,175.182037
07-01-2023 18:30:00000,1634.581543,0.000000,0.000000,573.229614,45156.641,1987088.000000,13233.423,22911.863,22984.832,22964.266,6574.138672,-2025.788940,95.565727,49.954426,22953.654,173.337524
07-01-2023 18:45:00000,1616.033691,0.000000,0.000000,497.698883,46772.672,1986590.375000,13250.421,22940.604,23010.332,22992.424,6460.417969,-2118.121338,95.023163,49.915752,22981.121,171.119247
07-01-2023 19:00:00000,1614.280762,0.000000,0.000000,550.901733,48386.953,1986039.375000,13228.727,22901.811,22969.479,22954.527,6477.773438,-2251.447998,94.457329,49.945759,22941.939,172.891800
07-01-2023 19:15:00000,1616.042114,0.000000,0.000000,518.233276,50002.996,1985521.125000,13242.188,22924.518,22990.590,22976.994,6460.714844,-1999.805420,95.528336,49.933479,22964.033,170.378448
07-01-2023 19:30:00000,1611.397705,0.000000,0.000000,492.775360,51614.395,1985028.375000,13246.856,22931.156250,22996.617,22985.867,6449.037598,-1774.086548,96.418243,49.962933,22971.215,168.470398
07-01-2023 19:45:00000,1609.885254,0.000000,0.000000,343.806885,53224.281250,1984684.625000,13315.424,23050.271,23116.770,23104.180,6450.881348,-996.534973,98.827728,49.899429,23090.406250,163.622803
07-01-2023 20:00:00000,1881.814087,65.828552,0.000000,114.423820,55106.093750,1984636.000000,13359.012,23134.178,23181.115,23164.613,7564.618164,1000.663513,-99.136391,49.947426,23159.967,190.749084
07-01-2023 20:15:00000,2142.093262,213.448532,0.000000,0.000000,57248.187500,1984849.500000,13357.433,23137.039,23179.607,23156.439,9102.958984,654.814392,-99.742271,50.181465,23157.693,227.968231
07-01-2023 20:30:00000,2341.822998,150.603973,0.000000,0.000000,59590.008,1985000.000000,13324.728,23078.625000,23122.176,23100.812500,9659.166992,392.930023,-99.917358,50.111523,23100.539,242.033325
07-01-2023 20:45:00000,2458.769531,71.977928,0.000000,0.000000,62048.777,1985072.000000,13313.979,23059.832,23105.352,23083.146,9761.509766,535.872437,-99.849655,50.090759,23082.777,244.961151
07-01-2023 21:00:00000,2451.627930,147.391525,0.000000,0.000000,64500.406250,1985219.375000,13316.700,23063.820,23108.070,23087.727,9820.593750,630.330139,-99.794655,50.068298,23086.539,246.564529
07-01-2023 21:15:00000,2459.464600,189.990707,0.000000,0.000000,66959.875000,1985409.375000,13323.255,23075.057,23119.084,23098.289,9924.900391,775.256714,-99.696312,50.094467,23097.477,249.284134
07-01-2023 21:30:00000,2481.929688,188.571091,0.000000,0.000000,69441.805,1985598.000000,13280.937500,23001.971,23045.631,23025.027,10017.998,728.640930,-99.736542,50.015957,23024.209,252.320251
07-01-2023 21:45:00000,2495.090088,141.364212,0.000000,0.000000,71936.891,1985739.375000,13279.907,23000.113,23047.801,23025.195,9989.434570,444.155945,-99.901299,49.993351,23024.369,251.211426
07-01-2023 22:00:00000,2495.105957,104.459503,0.000000,0.000000,74432.000000,1985843.875000,13276.929,22993.430,23038.682,23019.637,9957.979492,399.777802,-99.919510,50.077568,23017.250000,250.440674
07-01-2023 22:15:00000,2493.392334,103.435417,0.000000,0.000000,76925.391,1985947.250000,13284.981,23009.332,23055.439,23033.117,9965.501953,320.090729,-99.948456,50.070560,23032.631,250.399307
07-01-2023 22:30:00000,2495.758789,38.643379,0.000000,0.000000,79421.148,1985985.875000,13275.994,22993.596,23039.598,23017.617,9986.072266,23.692959,-99.999718,50.134254,23016.937500,250.946381
07-01-2023 22:45:00000,2500.884521,34.175713,0.000000,0.063829,81922.031250,1986020.000000,13277.914,22998.566,23041.514,23018.482,10008.284180,157.010406,-99.987694,50.117363,23019.521,251.541534
07-01-2023 23:00:00000,2500.956055,48.313290,0.000000,0.000000,84422.992,1986068.375000,13278.587,22999.658,23040.326,23018.598,10037.846680,121.950455,-99.992622,50.088371,23019.527,252.249496
07-01-2023 23:15:00000,2491.366943,18.169695,0.000000,1.073370,86914.359,1986085.375000,13283.819,23009.871,23052.391,23028.365,9928.220703,-28.549208,99.999588,50.040344,23030.209,249.378433
07-01-2023 23:30:00000,2481.657471,7.308842,0.000000,4.655479,89396.016,1986088.125000,13295.807,23033.170,23076.693,23048.148,9946.236328,38.424362,-99.999252,50.047440,23052.670,249.594467
07-01-2023 23:45:00000,2483.780518,39.306068,0.000000,0.000000,91879.797,1986127.375000,13298.981,23040.365,23082.781250,23051.773,9909.077148,450.441772,-99.896843,50.036396,23058.309,248.914948
08-01-2023 0:00:00000,2487.555176,121.159447,0.000000,0.000000,94367.352,1986248.500000,13308.380,23057.080,23097.803,23067.031250,9915.250977,442.032471,-99.900772,49.933994,23073.971,248.866455
08-01-2023 0:15:00000,2494.797363,115.697578,0.000000,0.000000,96862.148,1986364.250000,13320.453,23078.748,23119.285,23087.680,9930.052734,450.604675,-99.897202,49.962177,23095.238,249.041946
08-01-2023 0:30:00000,2494.657715,96.183113,0.000000,0.000000,99356.805,1986460.375000,13319.991,23078.436,23121.623,23088.004,9997.943359,224.706924,-99.974754,49.996014,23096.021,250.526794
08-01-2023 0:45:00000,2493.526855,24.995827,0.000000,0.067836,101850.33,1986485.375000,13291.964,23029.854,23073.012,23039.373,10097.040,136.479996,-99.990868,50.009926,23047.412,253.483597
08-01-2023 1:00:00000,2525.864502,56.438507,0.000000,0.000000,104376.20,1986541.750000,13315.232,23050.551,23106.791,23095.943,10138.558,192.181244,-99.982040,50.001041,23084.428,254.149445
08-01-2023 1:15:00000,2524.736328,170.833832,0.000000,0.000000,106900.93,1986712.625000,13316.322,23052.641,23103.787,23094.898,10093.902,883.891418,-99.618790,50.053631,23083.775,253.954895
08-01-2023 1:30:00000,2525.074463,203.997208,0.000000,0.000000,109426.01,1986916.625000,13320.002,23059.738,23113.248,23102.158,10126.700,697.861328,-99.763390,50.052727,23091.715,254.308777
08-01-2023 1:45:00000,2520.846191,152.007095,0.000000,0.000000,111946.85,1987068.625000,13324.562500,23069.275,23124.029,23109.912,10020.604,518.077942,-99.866615,50.097504,23101.072,251.300949
08-01-2023 2:00:00000,2523.851807,147.721375,0.000000,0.000000,114470.70,1987216.375000,13313.510,23051.885,23107.828,23090.459,10106.355,902.443176,-99.603691,49.894619,23083.391,254.310516
08-01-2023 2:15:00000,2529.471436,216.375092,0.000000,0.000000,117000.18,1987432.750000,13313.481,23050.457,23102.889,23089.373,10106.063,772.176025,-99.709366,50.021900,23080.906250,254.067902
08-01-2023 2:30:00000,2526.572266,169.839584,0.000000,0.000000,119526.750000,1987602.500000,13264.843,22967.350,23020.854,23005.479,10113.364,279.437622,-99.961853,49.967113,22997.893,254.498688
08-01-2023 2:45:00000,2514.265381,48.410095,0.000000,0.000000,122041.02,1987651.000000,13255.740,22953.223,23004.277,22987.365,10062.020,238.944733,-99.971817,49.925201,22981.621,253.356491
08-01-2023 3:00:00000,2508.055176,57.258186,0.000000,0.000000,124549.07,1987708.250000,13262.478,22963.762,23016.824,23000.564,10045.583,159.113342,-99.987457,49.928143,22993.717,252.788666
08-01-2023 3:15:00000,2512.193848,12.076302,0.000000,8.662786,127061.27,1987711.625000,13263.399,22964.678,23021.658,23004.990,10082.828,-86.282394,99.996338,49.986294,22997.107,253.641754
08-01-2023 3:30:00000,2512.556396,0.000000,0.000000,55.142624,129573.82,1987656.500000,13260.064,22960.074,23016.854,22997.955,10069.090,-319.660736,99.949646,50.009506,22991.629,253.454254
08-01-2023 3:45:00000,2510.815674,8.743050,0.000000,73.068672,132084.64,1987592.125000,13243.190430,22930.781250,22983.387,22966.500000,10067.399,310.169739,-99.952576,49.970352,22960.223,253.778168
08-01-2023 4:00:00000,2513.127197,95.472649,0.000000,0.000000,134597.77,1987687.625000,13252.077,22945.828,23000.564,22983.357,10049.067,338.239990,-99.943405,49.992363,22976.584,253.159912
08-01-2023 4:15:00000,2513.529541,72.963722,0.000000,0.000000,137111.30,1987760.625000,13257.950,22959.135,23014.213,22992.168,10132.111,317.999573,-99.950783,49.921543,22988.506,255.079254
08-01-2023 4:30:00000,2528.740234,59.200634,0.000000,0.000000,139640.03,1987819.750000,13261.797,22965.148,23022.537,23000.279,10089.077,131.624283,-99.991493,50.033493,22995.988,253.805099
08-01-2023 4:45:00000,2528.260986,44.427914,0.000000,0.000000,142168.30,1987864.250000,13265.099,22971.869,23027.566,23004.531250,10136.355,205.521011,-99.979454,50.060093,23001.320,254.958481
08-01-2023 5:00:00000,2527.068604,35.042480,0.000000,0.000000,144695.36,1987899.250000,13256.958,22957.229,23012.742,22990.701,10096.035,29.333294,-99.999580,50.075352,22986.891,254.032318
08-01-2023 5:15:00000,2523.045166,34.197643,0.000000,0.000000,147218.41,1987933.500000,13263.666,22969.379,23028.615,23003.852,10103.042,143.270370,-99.989944,50.116787,23000.615,254.087708
08-01-2023 5:30:00000,2524.984863,27.705036,0.000000,0.000000,149743.39,1987961.125000,13258.045,22961.656250,23018.113,22991.842,10109.911,119.172188,-99.993050,50.067104,22990.537,254.362991
08-01-2023 5:45:00000,2527.048340,27.972527,0.000000,0.000000,152270.437500,1987989.125000,13253.239,22951.924,23009.473,22984.559,10116.562,120.983238,-99.992851,50.048225,22981.984,254.616104
08-01-2023 6:00:00000,2525.855225,16.577366,0.000000,0.131322,154796.30,1988005.625000,13248.727,22942.895,22999.342,22976.891,10095.105,76.864441,-99.997101,49.988598,22973.041,254.161743
08-01-2023 6:15:00000,2520.096436,51.498924,0.000000,0.000000,157316.39,1988057.125000,13254.179,22953.953,23009.758,22985.135,9993.150391,219.752777,-99.975830,49.911877,22982.949,251.550323
08-01-2023 6:30:00000,2504.518311,37.200165,0.000000,0.000000,159820.91,1988094.250000,13256.330,22958.047,23015.201,22989.342,10014.937500,42.458668,-99.999100,49.985115,22987.531250,252.002243
08-01-2023 6:45:00000,2503.985107,85.037926,0.000000,0.033418,162324.89,1988179.250000,13242.906250,22934.580,22989.977,22964.738,10038.070,900.219116,-99.600281,50.023682,22963.100,253.895935
08-01-2023 7:00:00000,2508.047119,301.718628,0.000000,0.000000,164832.937500,1988481.000000,13251.699,22949.803,23004.385,22979.602,10026.774,1432.055054,-98.995422,49.833492,22977.930,254.963379
08-01-2023 7:15:00000,2540.163086,376.081818,0.000000,0.000000,167373.11,1988857.125000,13238.193,22926.941,22977.799,22953.926,10148.403320,1334.338623,-99.146667,49.934559,22952.889,257.904175
